advertId,district,first_query_date,elapsed_days,first_price,last_price,area,rooms
34378761,"Budapest III. kerület, Tarhos utca 156.",2024-12-27,42,179.90,179.90,112,5
34144137,"Budapest III. kerület, Aranyhegy",2024-12-27,19,149,149,95,3.5
34090899,"Budapest III. kerület, Jutas köz 4.",2024-12-27,42,157.50,157.50,122,4
33484732,"Budapest III. kerület, Aranyhegy",2024-12-27,26,183.75,183.75,105,4
34378786,"Budapest III. kerület, Tarhos utca 156.",2024-12-27,42,199.90,199.90,112,5
34335453,"Budapest III. kerület, Ürömhegy",2024-12-27,42,189.90,189.90,130,4
34509222,"Budapest III. kerület, Ürömhegy",2024-12-27,16,189,189,103,4
33412443,"Budapest III. kerület, Csillaghegy",2024-12-27,42,168,177,120,5
33810693,"Budapest III. kerület, Ürömhegy",2024-12-27,42,182,182,105,5
33643923,"Budapest III. kerület, Csillaghegy",2024-12-27,42,228,228,130,5
33085862,"Budapest III. kerület, Aranyhegy",2024-12-27,5,155,155,108,4.5
34216971,"Budapest III. kerület, Csillaghegy",2024-12-27,42,150,170,125,4
34385800,"Budapest III. kerület, Aranyhegy",2024-12-27,19,179.90,179.90,105,4
34333588,"Budapest III. kerület, Ürömfű utca",2024-12-27,42,189,189,104,4
34419123,"Budapest III. kerület, Csillaghegy",2024-12-27,6,269,269,130,4
34497250,"Budapest XI. kerület, Madárhegy",2024-12-27,42,184,184,129,5
34511721,"Budapest III. kerület, Ürömhegy",2024-12-27,26,245,245,127,4
34002024,"Budapest II. kerület, II/A kerület - Budaliget",2024-12-27,42,265,265,122,4
34025501,"Budapest II. kerület, Előd vezér utca",2024-12-27,42,265,265,122,4
33973446,"Budapest II. kerület, II/A kerület - Budaliget",2024-12-27,42,265,265,116,4
34025397,"Budapest II. kerület, Előd vezér utca",2024-12-27,42,265,265,122,4
34496580,"Budapest II. kerület, Jegesmedve lejtő",2024-12-27,42,164.99,164.99,120,5
32687768,"Budapest III. kerület, Csillaghegy",2024-12-27,42,168,168,120,4
34366994,"Budapest II. kerület, II/A kerület - Budaliget",2024-12-27,42,265,264.70,130,5.5
34227039,"Budapest XI. kerület, Szerelmey Miklós utca",2024-12-27,42,219,219,130,5.5
34194794,"Budapest III. kerület, Tarhos utca",2024-12-27,9,194.90,194.90,130,4
34445329,"Budapest II. kerület, II/A kerület - Budaliget",2024-12-27,42,264.70,264.70,122,4
33920599,"Budapest III. kerület, Naplemente utca",2024-12-27,42,170,170,120,4
33127761,"Budapest III. kerület, Ürömhegy",2024-12-27,42,208,208,120,5
34538165,"Budapest III. kerület, Ürömhegy",2025-01-16,22,189,189,103,4
34017384,"Budapest XII. kerület, Diós árok",2025-01-20,18,275,275,120,3
34017099,"Budapest III. kerület, Csillaghegy",2025-01-20,16,159,169,100,4
34543570,"Budapest III. kerület, Ürömhegy",2025-01-20,18,139.90,139.90,100,3.5
34565624,"Budapest III. kerület, Ürömhegy",2025-01-30,8,229.90,229.90,127,4
34562064,"Budapest III. kerület, Ürömfű utca",2025-01-30,8,192,192,104,4
