advertId,district,first_query_date,elapsed_days,first_price,last_price,area,rooms,area price,advertId
34378761,"Budapest III. kerület, Tarhos utca 156.",27/12/2024,49,179.9,179.9,112,5,1.60625,34378761
34144137,"Budapest III. kerület, Aranyhegy",27/12/2024,19,149,149,95,3.5,1.568421053,34144137
34090899,"Budapest III. kerület, Jutas köz 4.",27/12/2024,49,157.5,157.5,122,4,1.290983607,34090899
33484732,"Budapest III. kerület, Aranyhegy",27/12/2024,26,183.75,183.75,105,4,1.75,33484732
34378786,"Budapest III. kerület, Tarhos utca 156.",27/12/2024,49,199.9,199.9,112,5,1.784821429,34378786
34335453,"Budapest III. kerület, Ürömhegy",27/12/2024,49,189.9,189.9,130,4,1.460769231,34335453
34509222,"Budapest III. kerület, Ürömhegy",27/12/2024,16,189,189,103,4,1.834951456,34509222
33412443,"Budapest III. kerület, Csillaghegy",27/12/2024,49,168,180,120,5,1.5,33412443
33810693,"Budapest III. kerület, Ürömhegy",27/12/2024,49,182,182,105,5,1.733333333,33810693
33643923,"Budapest III. kerület, Csillaghegy",27/12/2024,49,228,228,130,5,1.753846154,33643923
33085862,"Budapest III. kerület, Aranyhegy",27/12/2024,5,155,155,108,4.5,1.435185185,33085862
34216971,"Budapest III. kerület, Csillaghegy",27/12/2024,49,150,170,125,4,1.36,34216971
34385800,"Budapest III. kerület, Aranyhegy",27/12/2024,19,179.9,179.9,105,4,1.713333333,34385800
34333588,"Budapest III. kerület, Ürömfű utca",27/12/2024,49,189,189,104,4,1.817307692,34333588
34419123,"Budapest III. kerület, Csillaghegy",27/12/2024,6,269,269,130,4,2.069230769,34419123
34497250,"Budapest XI. kerület, Madárhegy",27/12/2024,44,184,184,129,5,1.426356589,34497250
34511721,"Budapest III. kerület, Ürömhegy",27/12/2024,26,245,245,127,4,1.929133858,34511721
34002024,"Budapest II. kerület, II/A kerület - Budaliget",27/12/2024,44,265,265,122,4,2.172131148,34002024
34025501,"Budapest II. kerület, Előd vezér utca",27/12/2024,49,265,265,122,4,2.172131148,34025501
33973446,"Budapest II. kerület, II/A kerület - Budaliget",27/12/2024,49,265,265,116,4,2.284482759,33973446
34025397,"Budapest II. kerület, Előd vezér utca",27/12/2024,49,265,265,122,4,2.172131148,34025397
34496580,"Budapest II. kerület, Jegesmedve lejtő",27/12/2024,49,164.99,164.99,120,5,1.374916667,34496580
32687768,"Budapest III. kerület, Csillaghegy",27/12/2024,49,168,180,120,4,1.5,32687768
34366994,"Budapest II. kerület, II/A kerület - Budaliget",27/12/2024,44,265,264.7,130,5.5,2.036153846,34366994
34227039,"Budapest XI. kerület, Szerelmey Miklós utca",27/12/2024,49,219,219,130,5.5,1.684615385,34227039
34194794,"Budapest III. kerület, Tarhos utca",27/12/2024,9,194.9,194.9,130,4,1.499230769,34194794
34445329,"Budapest II. kerület, II/A kerület - Budaliget",27/12/2024,49,264.7,264.7,122,4,2.169672131,34445329
33920599,"Budapest III. kerület, Naplemente utca",27/12/2024,49,170,170,120,4,1.416666667,33920599
33127761,"Budapest III. kerület, Ürömhegy",27/12/2024,49,208,208,120,5,1.733333333,33127761
34538165,"Budapest III. kerület, Ürömhegy",16/01/2025,30,189,189,103,4,1.834951456,34538165
34017384,"Budapest XII. kerület, Diós árok",20/01/2025,26,275,275,120,3,2.291666667,34017384
34017099,"Budapest III. kerület, Csillaghegy",20/01/2025,16,159,169,100,4,1.69,34017099
34543570,"Budapest III. kerület, Ürömhegy",20/01/2025,26,139.9,139.9,100,3.5,1.399,34543570
34565624,"Budapest III. kerület, Ürömhegy",30/01/2025,16,229.9,229.9,127,4,1.81023622,34565624
34562064,"Budapest III. kerület, Ürömfű utca",30/01/2025,16,192,192,104,4,1.846153846,34562064
34537887,"Budapest III. kerület, Ürömhegy",08/02/2025,7,234.5,234.5,126,4,1.861111111,34537887
34576978,"Budapest III. kerület, Ürömhegy",08/02/2025,7,189.9,189.9,120,4,1.5825,34576978
34258112,"Budapest XII. kerület, Denevér út",08/02/2025,2,279,279,124,4,2.25,34258112
33898265,"Budapest III. kerület, Ürömhegy",08/02/2025,7,249,249,130,5.5,1.915384615,33898265
34588885,"Budapest III. kerület, Bécsi út",10/02/2025,5,179,179,112,4,1.598214286,34588885
34596580,"Budapest III. kerület, Aranyhegy",15/02/2025,0,183.75,183.75,105,4,1.75,34596580
34594773,"Budapest III. kerület, Óarany utca 32.",15/02/2025,0,189.9,189.9,115,4,1.651304348,34594773
34594638,"Budapest III. kerület, Jutas utca",15/02/2025,0,189.9,189.9,115,5,1.651304348,34594638
